"Date","total.foreign.sim"
"2017-06-05",73
"2017-06-06",139
"2017-06-07",174
"2017-06-08",97
"2017-06-09",156
"2017-06-10",198
"2017-06-11",235
"2017-06-12",35
"2017-06-13",198
"2017-06-14",230
"2017-06-15",305
"2017-06-16",323
"2017-06-17",378
"2017-06-18",318
"2017-06-19",184
"2017-06-20",151
"2017-06-21",123
"2017-06-22",170
"2017-06-23",222
"2017-06-24",306
"2017-06-25",227
"2017-06-26",164
"2017-06-27",223
"2017-06-28",201
"2017-06-29",248
"2017-06-30",267
"2017-07-01",343
"2017-07-02",227
"2017-07-03",206
"2017-07-04",237
"2017-07-05",219
"2017-07-06",195
"2017-07-07",277
"2017-07-08",301
"2017-07-09",259
"2017-07-10",209
"2017-07-11",239
"2017-07-12",232
"2017-07-13",238
"2017-07-14",305
"2017-07-15",317
"2017-07-16",293
"2017-07-17",229
"2017-07-18",232
"2017-07-19",234
"2017-07-20",221
"2017-07-21",261
"2017-07-22",378
"2017-07-23",258
"2017-07-24",326
"2017-07-25",266
"2017-07-26",251
"2017-07-27",227
"2017-07-28",227
"2017-07-29",329
"2017-07-30",253
"2017-07-31",249
"2017-08-01",217
"2017-08-02",178
"2017-08-03",161
"2017-08-04",186
"2017-08-05",158
"2017-08-06",174
"2017-08-07",208
"2017-08-08",265
"2017-08-09",216
"2017-08-10",254
"2017-08-11",213
"2017-08-12",323
"2017-08-13",260
"2017-08-14",274
"2017-08-15",213
"2017-08-16",157
"2017-08-17",177
"2017-08-18",195
"2017-08-19",271
"2017-08-20",235
"2017-08-21",197
"2017-08-22",189
"2017-08-23",178
"2017-08-24",176
"2017-08-25",203
"2017-08-26",217
"2017-08-27",48
"2017-08-28",96
"2017-08-29",67
"2017-08-30",82
"2017-08-31",165
"2017-09-01",202
"2017-09-02",46
"2017-09-03",35
"2017-09-04",125
"2017-09-05",158
"2017-09-06",50
"2017-09-07",149
"2017-09-08",185
"2017-09-09",215
"2017-09-10",146
"2017-09-11",115
"2017-09-12",146
"2017-09-13",154
"2017-09-14",168
"2017-09-15",163
"2017-09-16",231
"2017-09-17",166
"2017-09-18",123
"2017-09-19",170
"2017-09-20",110
"2017-09-21",155
"2017-09-22",124
"2017-09-23",149
"2017-09-24",83
"2017-09-25",148
"2017-09-26",113
"2017-09-27",119
"2017-09-28",93
"2017-09-29",158
"2017-09-30",253
"2017-10-01",107
"2017-10-02",121
"2017-10-03",152
"2017-10-04",130
"2017-10-05",152
"2017-10-06",83
"2017-10-07",156
"2017-10-08",83
"2017-10-09",126
"2017-10-10",159
"2017-10-11",158
"2017-10-12",156
"2017-10-13",162
"2017-10-14",217
"2017-10-15",228
"2017-10-16",147
"2017-10-17",142
"2017-10-18",131
"2017-10-19",130
"2017-10-20",141
"2017-10-21",217
"2017-10-22",166
"2017-10-23",144
"2017-10-24",110
"2017-10-25",144
"2017-10-26",131
"2017-10-27",163
"2017-10-28",190
"2017-10-29",193
"2017-10-30",179
"2017-10-31",130
"2017-11-01",86
"2017-11-02",101
"2017-11-03",109
"2017-11-04",172
"2017-11-05",53
"2017-11-06",42
"2017-11-07",65
"2017-11-08",58
"2017-11-09",40
"2017-11-10",67
"2017-11-11",162
"2017-11-12",82
"2017-11-13",55
"2017-11-14",69
"2017-11-15",50
"2017-11-16",82
"2017-11-17",106
"2017-11-18",149
"2017-11-19",108
"2017-11-20",64
"2017-11-21",61
"2017-11-22",47
"2017-11-23",48
"2017-11-24",102
"2017-11-25",90
"2017-11-26",93
"2017-11-27",67
"2017-11-28",35
"2017-11-29",27
"2017-11-30",68
"2017-12-01",70
"2017-12-02",105
"2017-12-03",30
"2017-12-04",27
"2017-12-05",42
"2017-12-06",28
"2017-12-07",53
"2017-12-08",80
"2017-12-09",82
"2017-12-10",44
"2017-12-11",13
"2017-12-12",33
"2017-12-13",33
"2017-12-14",31
"2017-12-15",23
"2017-12-16",41
"2017-12-17",35
"2017-12-18",24
"2017-12-19",36
"2017-12-20",33
"2017-12-21",31
"2017-12-22",33
"2017-12-23",71
"2017-12-24",54
"2017-12-25",34
"2017-12-26",44
"2017-12-27",38
"2017-12-28",83
"2017-12-29",131
"2017-12-30",143
"2017-12-31",166
"2018-01-01",100
"2018-01-02",179
"2018-01-03",105
"2018-01-04",98
"2018-01-05",87
"2018-01-06",55
"2018-01-07",56
"2018-01-08",50
"2018-01-09",31
"2018-01-10",49
"2018-01-11",36
