date;total-ita-sim;total-foreign-sim;prefix;country;num
2017-06-05;1165;73;0049;Germania;22
2017-06-05;1165;73;0044;Gran Bretagna;15
2017-06-05;1165;73;001;USA / Canada;7
2017-06-05;1165;73;0041;Svizzera;7
2017-06-05;1165;73;0034;Spagna;4
2017-06-05;1165;73;007;Federazione Russa;3
2017-06-05;1165;73;0031;Paesi Bassi (Olanda);3
2017-06-05;1165;73;0043;Austria;3
2017-06-05;1165;73;0033;Francia;2
2017-06-05;1165;73;0061;Australia;1
2017-06-05;1165;73;0046;Svezia;1
2017-06-05;1165;73;00351;Portogallo;1
2017-06-05;1165;73;0032;Belgio;1
2017-06-05;1165;73;00358;Finlandia;1
2017-06-05;1165;73;0081;Giappone;1
2017-06-05;1165;73;0090;Turchia;1
2017-06-06;2367;139;0044;Gran Bretagna;35
2017-06-06;2367;139;0049;Germania;32
2017-06-06;2367;139;001;USA / Canada;13
2017-06-06;2367;139;0041;Svizzera;12
2017-06-06;2367;139;007;Federazione Russa;9
2017-06-06;2367;139;0033;Francia;7
2017-06-06;2367;139;0034;Spagna;7
2017-06-06;2367;139;0046;Svezia;4
2017-06-06;2367;139;0031;Paesi Bassi (Olanda);3
2017-06-06;2367;139;00351;Portogallo;2
2017-06-06;2367;139;0036;Ungheria;2
2017-06-06;2367;139;0032;Belgio;2
2017-06-06;2367;139;0045;Danimarca;2
2017-06-06;2367;139;0090;Turchia;2
2017-06-06;2367;139;0047;Norvegia;1
2017-06-06;2367;139;0081;Giappone;1
2017-06-06;2367;139;00352;Lussemburgo;1
2017-06-06;2367;139;00358;Finlandia;1
2017-06-06;2367;139;0091;India;1
2017-06-06;2367;139;0061;Australia;1
2017-06-06;2367;139;0043;Austria;1
2017-06-07;3295;174;0049;Germania;47
2017-06-07;3295;174;0044;Gran Bretagna;32
2017-06-07;3295;174;001;USA / Canada;17
2017-06-07;3295;174;0033;Francia;11
2017-06-07;3295;174;0034;Spagna;10
2017-06-07;3295;174;00358;Finlandia;9
2017-06-07;3295;174;0041;Svizzera;9
2017-06-07;3295;174;007;Federazione Russa;8
2017-06-07;3295;174;0090;Turchia;6
2017-06-07;3295;174;0036;Ungheria;5
2017-06-07;3295;174;0046;Svezia;4
2017-06-07;3295;174;0061;Australia;3
2017-06-07;3295;174;0030;Grecia;3
2017-06-07;3295;174;0032;Belgio;2
2017-06-07;3295;174;00972;Israele;2
2017-06-07;3295;174;0031;Paesi Bassi (Olanda);1
2017-06-07;3295;174;00385;Croazia;1
2017-06-07;3295;174;0043;Austria;1
2017-06-07;3295;174;00386;Slovenia;1
2017-06-07;3295;174;00351;Portogallo;1
2017-06-07;3295;174;00356;Malta;1
2017-06-08;1946;97;0049;Germania;22
2017-06-08;1946;97;0044;Gran Bretagna;16
2017-06-08;1946;97;0033;Francia;11
2017-06-08;1946;97;001;USA / Canada;10
2017-06-08;1946;97;007;Federazione Russa;10
2017-06-08;1946;97;0041;Svizzera;7
2017-06-08;1946;97;00351;Portogallo;3
2017-06-08;1946;97;0031;Paesi Bassi (Olanda);3
2017-06-08;1946;97;0034;Spagna;3
2017-06-08;1946;97;0032;Belgio;2
2017-06-08;1946;97;00386;Slovenia;2
2017-06-08;1946;97;0043;Austria;2
2017-06-08;1946;97;0091;India;2
2017-06-08;1946;97;0046;Svezia;1
2017-06-08;1946;97;0061;Australia;1
2017-06-08;1946;97;00358;Finlandia;1
2017-06-08;1946;97;0036;Ungheria;1
2017-06-09;1750;156;0049;Germania;48
2017-06-09;1750;156;0044;Gran Bretagna;25
2017-06-09;1750;156;0041;Svizzera;16
2017-06-09;1750;156;001;USA / Canada;11
2017-06-09;1750;156;0033;Francia;7
2017-06-09;1750;156;0034;Spagna;7
2017-06-09;1750;156;00351;Portogallo;5
2017-06-09;1750;156;007;Federazione Russa;5
2017-06-09;1750;156;0046;Svezia;4
2017-06-09;1750;156;0031;Paesi Bassi (Olanda);4
2017-06-09;1750;156;00385;Croazia;4
2017-06-09;1750;156;0043;Austria;3
2017-06-09;1750;156;0090;Turchia;2
2017-06-09;1750;156;0061;Australia;2
2017-06-09;1750;156;0091;India;2
2017-06-09;1750;156;0030;Grecia;2
2017-06-09;1750;156;0032;Belgio;2
2017-06-09;1750;156;00358;Finlandia;1
2017-06-09;1750;156;0047;Norvegia;1
2017-06-09;1750;156;0020;Egitto;1
2017-06-09;1750;156;00421;Slovacchia;1
2017-06-09;1750;156;00216;Tunisia;1
2017-06-09;1750;156;00372;Estonia;1
2017-06-09;1750;156;00386;Slovenia;1
2017-06-10;1749;198;0049;Germania;64
2017-06-10;1749;198;0041;Svizzera;25
2017-06-10;1749;198;0044;Gran Bretagna;22
2017-06-10;1749;198;0033;Francia;14
2017-06-10;1749;198;001;USA / Canada;11
2017-06-10;1749;198;0034;Spagna;9
2017-06-10;1749;198;0031;Paesi Bassi (Olanda);6
2017-06-10;1749;198;0032;Belgio;6
2017-06-10;1749;198;00358;Finlandia;5
2017-06-10;1749;198;0036;Ungheria;4
2017-06-10;1749;198;0043;Austria;4
2017-06-10;1749;198;00351;Portogallo;4
2017-06-10;1749;198;0091;India;4
2017-06-10;1749;198;0045;Danimarca;4
2017-06-10;1749;198;0020;Egitto;3
2017-06-10;1749;198;00385;Croazia;2
2017-06-10;1749;198;0090;Turchia;2
2017-06-10;1749;198;007;Federazione Russa;2
2017-06-10;1749;198;00421;Slovacchia;2
2017-06-10;1749;198;0046;Svezia;1
2017-06-10;1749;198;00377;Monaco (Principato di);1
2017-06-10;1749;198;00972;Israele;1
2017-06-10;1749;198;0061;Australia;1
2017-06-10;1749;198;00355;Albania;1
2017-06-11;1737;235;0049;Germania;48
2017-06-11;1737;235;0044;Gran Bretagna;42
2017-06-11;1737;235;0041;Svizzera;28
2017-06-11;1737;235;001;USA / Canada;19
2017-06-11;1737;235;0033;Francia;17
2017-06-11;1737;235;0034;Spagna;15
2017-06-11;1737;235;007;Federazione Russa;12
2017-06-11;1737;235;0090;Turchia;8
2017-06-11;1737;235;0031;Paesi Bassi (Olanda);8
2017-06-11;1737;235;0061;Australia;7
2017-06-11;1737;235;0046;Svezia;6
2017-06-11;1737;235;0043;Austria;4
2017-06-11;1737;235;00351;Portogallo;3
2017-06-11;1737;235;0091;India;3
2017-06-11;1737;235;00972;Israele;3
2017-06-11;1737;235;0030;Grecia;2
2017-06-11;1737;235;00358;Finlandia;2
2017-06-11;1737;235;00421;Slovacchia;1
2017-06-11;1737;235;0032;Belgio;1
2017-06-11;1737;235;0047;Norvegia;1
2017-06-11;1737;235;00974;Qatar;1
2017-06-11;1737;235;00354;Islanda;1
2017-06-11;1737;235;00385;Croazia;1
2017-06-11;1737;235;0045;Danimarca;1
2017-06-11;1737;235;00386;Slovenia;1
2017-06-12;650;35;0044;Gran Bretagna;7
2017-06-12;650;35;0034;Spagna;6
2017-06-12;650;35;001;USA / Canada;4
2017-06-12;650;35;0033;Francia;3
2017-06-12;650;35;0049;Germania;3
2017-06-12;650;35;007;Federazione Russa;3
2017-06-12;650;35;00358;Finlandia;2
2017-06-12;650;35;0041;Svizzera;2
2017-06-12;650;35;0061;Australia;1
2017-06-12;650;35;0091;India;1
2017-06-12;650;35;0032;Belgio;1
2017-06-12;650;35;0090;Turchia;1
2017-06-12;650;35;0036;Ungheria;1
2017-06-13;2045;198;0049;Germania;39
2017-06-13;2045;198;0044;Gran Bretagna;34
2017-06-13;2045;198;0041;Svizzera;21
2017-06-13;2045;198;001;USA / Canada;19
2017-06-13;2045;198;007;Federazione Russa;17
2017-06-13;2045;198;0034;Spagna;13
2017-06-13;2045;198;0033;Francia;9
2017-06-13;2045;198;0091;India;7
2017-06-13;2045;198;0031;Paesi Bassi (Olanda);6
2017-06-13;2045;198;00972;Israele;5
2017-06-13;2045;198;0090;Turchia;4
2017-06-13;2045;198;00358;Finlandia;4
2017-06-13;2045;198;00351;Portogallo;4
2017-06-13;2045;198;0043;Austria;3
2017-06-13;2045;198;0030;Grecia;3
2017-06-13;2045;198;0045;Danimarca;2
2017-06-13;2045;198;0046;Svezia;2
2017-06-13;2045;198;0061;Australia;2
2017-06-13;2045;198;0036;Ungheria;2
2017-06-13;2045;198;00974;Qatar;1
2017-06-13;2045;198;00356;Malta;1
2017-06-14;1959;230;0049;Germania;63
2017-06-14;1959;230;0044;Gran Bretagna;34
2017-06-14;1959;230;0034;Spagna;22
2017-06-14;1959;230;0041;Svizzera;17
2017-06-14;1959;230;0033;Francia;14
2017-06-14;1959;230;001;USA / Canada;13
2017-06-14;1959;230;0031;Paesi Bassi (Olanda);7
2017-06-14;1959;230;00351;Portogallo;7
2017-06-14;1959;230;007;Federazione Russa;6
2017-06-14;1959;230;0045;Danimarca;6
2017-06-14;1959;230;00358;Finlandia;5
2017-06-14;1959;230;0061;Australia;4
2017-06-14;1959;230;00421;Slovacchia;4
2017-06-14;1959;230;0043;Austria;4
2017-06-14;1959;230;0036;Ungheria;4
2017-06-14;1959;230;0046;Svezia;3
2017-06-14;1959;230;0091;India;3
2017-06-14;1959;230;0030;Grecia;3
2017-06-14;1959;230;00355;Albania;3
2017-06-14;1959;230;0090;Turchia;2
2017-06-14;1959;230;0020;Egitto;2
2017-06-14;1959;230;00356;Malta;2
2017-06-14;1959;230;00385;Croazia;2
2017-06-15;1823;305;0049;Germania;89
2017-06-15;1823;305;0041;Svizzera;39
2017-06-15;1823;305;001;USA / Canada;31
2017-06-15;1823;305;0044;Gran Bretagna;26
2017-06-15;1823;305;0034;Spagna;25
2017-06-15;1823;305;0033;Francia;20
2017-06-15;1823;305;007;Federazione Russa;19
2017-06-15;1823;305;0091;India;14
2017-06-15;1823;305;00385;Croazia;6
2017-06-15;1823;305;0090;Turchia;5
2017-06-15;1823;305;0031;Paesi Bassi (Olanda);5
2017-06-15;1823;305;00351;Portogallo;4
2017-06-15;1823;305;0045;Danimarca;4
2017-06-15;1823;305;0030;Grecia;3
2017-06-15;1823;305;00421;Slovacchia;2
2017-06-15;1823;305;0046;Svezia;2
2017-06-15;1823;305;0081;Giappone;2
2017-06-15;1823;305;00358;Finlandia;2
2017-06-15;1823;305;0043;Austria;2
2017-06-15;1823;305;0020;Egitto;1
2017-06-15;1823;305;00352;Lussemburgo;1
2017-06-15;1823;305;0061;Australia;1
2017-06-15;1823;305;0036;Ungheria;1
2017-06-15;1823;305;0032;Belgio;1
2017-06-16;1767;323;0049;Germania;68
2017-06-16;1767;323;0041;Svizzera;52
2017-06-16;1767;323;001;USA / Canada;34
2017-06-16;1767;323;0044;Gran Bretagna;29
2017-06-16;1767;323;0034;Spagna;22
2017-06-16;1767;323;0033;Francia;21
2017-06-16;1767;323;007;Federazione Russa;16
2017-06-16;1767;323;0031;Paesi Bassi (Olanda);13
2017-06-16;1767;323;0043;Austria;10
2017-06-16;1767;323;00351;Portogallo;8
2017-06-16;1767;323;0090;Turchia;7
2017-06-16;1767;323;00385;Croazia;6
2017-06-16;1767;323;0030;Grecia;5
2017-06-16;1767;323;0091;India;4
2017-06-16;1767;323;00421;Slovacchia;4
2017-06-16;1767;323;00972;Israele;3
2017-06-16;1767;323;0045;Danimarca;3
2017-06-16;1767;323;0032;Belgio;3
2017-06-16;1767;323;00358;Finlandia;3
2017-06-16;1767;323;0036;Ungheria;3
2017-06-16;1767;323;00355;Albania;2
2017-06-16;1767;323;0061;Australia;2
2017-06-16;1767;323;0046;Svezia;1
2017-06-16;1767;323;00372;Estonia;1
2017-06-16;1767;323;00386;Slovenia;1
2017-06-16;1767;323;0081;Giappone;1
2017-06-16;1767;323;00352;Lussemburgo;1
2017-06-17;1865;378;0041;Svizzera;105
2017-06-17;1865;378;0049;Germania;76
2017-06-17;1865;378;0044;Gran Bretagna;40
2017-06-17;1865;378;001;USA / Canada;28
2017-06-17;1865;378;007;Federazione Russa;14
2017-06-17;1865;378;0033;Francia;13
2017-06-17;1865;378;0034;Spagna;9
2017-06-17;1865;378;00351;Portogallo;9
2017-06-17;1865;378;0043;Austria;9
2017-06-17;1865;378;0090;Turchia;8
2017-06-17;1865;378;00358;Finlandia;8
2017-06-17;1865;378;0091;India;7
2017-06-17;1865;378;0031;Paesi Bassi (Olanda);7
2017-06-17;1865;378;00385;Croazia;7
2017-06-17;1865;378;0061;Australia;5
2017-06-17;1865;378;00421;Slovacchia;4
